Pair ID,Class 1,Term 1,Similarity,Class 2,Term 2,Term 1 Expand,Term 2 Expand
0015146-0007836,35,business administration,Dissimilar,41,entertainment services,"Professional services relating to the management, organization, and administration of businesses","Providing entertainment, amusement, and recreation services to the public."
0015146-0058633,35,business administration,Dissimilar,39,organisation of trips,"Professional services relating to the management, organization, and administration of businesses",Service for planning and managing trips for individuals or groups
0046364-0067216,25,clothing,Identical,25,long johns,Garments and articles of dress for covering the human body,"Thermal undergarments for the entire body, comprising a top and bottom"
0073918-0047848,9,scientific and laboratory devices for treatment using electricity,Dissimilar,16,decoration and art materials and media,Electrical scientific and laboratory apparatus for treatment,"Decoration and art materials and media, including paper, drawing supplies, and decorative components for artistic creation."
0047026-0031233,30,tea,Low similar,30,tea essences,Dried tea leaves for making beverages,Concentrated tea essences for food flavoring
0016148-0033523,33,wine,Dissimilar,33,cream liqueurs,Wine [alcoholic beverage],Alcoholic cream liqueurs
0009379-0019852,21,make-up removing appliances,Dissimilar,9,sound reproduction apparatus,Make-up removing pads and cloths [appliances],Electronic apparatus for the reproduction of sound
0012425-0047163,11,installations for heating swimming pools,Identical,11,heating apparatus,Heating installations specifically for swimming pools,Apparatus for generating heat
0025734-0035321,12,vehicles,Similar,12,fenders for ships,"Apparatus for locomotion by land, air, or water, for conveying people or goods",Protective cushioning devices for preventing damage to ships
0058666-0058360,11,lighting apparatus,Identical,11,lights for vehicles,Electrical apparatus for producing and emitting light,Electrical lighting units for vehicles
0057919-0046364,18,baby carriers worn on the body,Low similar,25,clothing,"Baby carriers worn on the body, similar to carrying bags or harnesses",Garments and articles of dress for covering the human body
0059169-0029133,3,cakes of toilet soap,Dissimilar,10,apparatus for the treatment of deafness,Non-medicated solid toilet soap for personal cleansing and hygiene,Medical apparatus and instruments for the treatment of deafness
0030502-0041433,3,cosmetics,Similar,5,nutritional supplements,Non-medicated cosmetics for beauty and personal care,Dietary supplements for human and animal consumption
0047583-0007922,9,computers,Similar,9,couplers [data processing equipment],"Electronic data processing apparatus, namely, computers",Couplers for data processing equipment
0008086-0057795,30,thickening agents for cooking foodstuffs,Dissimilar,30,ice for refreshment,Food thickening agents for culinary use in preparing foodstuffs.,Frozen water for refreshment
0046364-0018617,25,clothing,Identical,25,tennis socks,Garments and articles of dress for covering the human body,Socks for playing tennis
0035881-0021580,12,apparatus for locomotion by water,Dissimilar,12,headlight wipers,Vehicles and apparatus for locomotion by water,Mechanical cleaning devices for cleaning the surface of vehicle headlights to maintain visibility
0059496-0019824,36,investment services,Similar,36,securities deposit services,"Financial services, namely, investment services",Financial services for the deposit and custody of securities
0046772-0035442,30,sauces [condiments],High similar,30,mustard,Edible sauces for use as condiments,"Prepared food condiment, namely, mustard"
0013520-0047918,11,drying installations,Dissimilar,21,gardening articles,Industrial and domestic drying installations and apparatus,"Non-mechanized gardening implements and containers, included in Class 21, such as watering cans and plant pots"
0057734-0011483,3,furbishing preparations,Dissimilar,5,veterinary preparations,Chemical preparations for furbishing surfaces,Pharmaceutical and medicinal preparations for veterinary use
0070200-0057794,30,confectionery,High similar,30,edible ices,Edible sweet confectionery goods,"Frozen confectionery food products, namely, edible ices"
0030502-0039782,3,cosmetics,Similar,5,disinfectants,Non-medicated cosmetics for beauty and personal care,Chemical preparations in the nature of disinfectants
0034518-0007875,29,poultry,Dissimilar,29,pollen prepared as foodstuff,Edible poultry meat,Processed pollen for use as a foodstuff.
0058848-0031905,9,computer software,Similar,9,communications servers [computer hardware],Recorded and downloadable computer software,"Computer hardware, namely, communications servers, for managing and facilitating communication traffic and data exchange over networks"
0041416-0048108,9,calculators,Dissimilar,9,teaching apparatus and instruments,Electronic calculating devices,Educational apparatus and instruments for teaching
